,İsim,Birim,Sorun Tipi,Sorun Açıklaması,Cevap
544,Merve,Dijital Teknolojiler,Yazılım Problemleri,"Yeni uygulama açılmıyor, hata mesajı alıyorum.",Uygulamayı yeniden başlatın ve 'DT-303' hata kodunu not alıp teknik destekle iletişime geçin.
545,Deniz,İnsan Kaynakları,Danışma Soruları,Yıllık performansım hakkında geri bildirim alabilir miyim?,"Performans değerlendirme raporlarınız, İK tarafından belirlenen 'İK-110' kriterleri çerçevesinde hazırlanır. Görüşme ayarlanacaktır."
546,Can,Satış,Maddesel Problemler,"Satış primlerim hesaplanmadı, neden?","Prim hesaplamaları, satış raporlarınızın doğru girilmesine bağlıdır. Raporlarınızı gözden geçirin ve 'SAT-207' prosedürünü uygulayın."
547,Leyla,Finans,Maddesel Problemler,"Fatura ödemen gecikti, ne yapmalıyım?","Fatura ödemeleri, 'FIN-312' ödeme planına göre yapılır. İlgili departmanla iletişime geçebilirsiniz."
548,Ozan,Üretim,Üretim Problemleri,Üretim bandında sık duruş yaşanıyor.,Makine arızalarını raporlayın ve 'ÜP-410' bakım protokolünü uygulayın.
549,Zeynep,Dijital Teknolojiler,Yazılım Problemleri,Veri senkronizasyonu sağlanamıyor.,Sunucu bağlantılarınızı kontrol edin ve 'DT-507' prosedürünü izleyin.
550,Emre,İnsan Kaynakları,Danışma Soruları,Yeni işe başlayanlar için oryantasyon programı nedir?,"Yeni çalışanlar için oryantasyon programı, İK tarafından haftalık olarak düzenlenir. Takvimi kontrol ediniz."
551,Seda,Satış,Maddesel Problemler,Satış komisyonum eksik hesaplanmış.,"Satış verilerinizi tekrar gözden geçirip, 'SAT-315' komisyon hesaplama kılavuzunu inceleyiniz."
552,Burak,Operasyon,X Problemleri,Operasyonel raporlar eksik görünüyor.,Rapor sisteminizi güncelleyin ve 'OP-220' veri doğrulama adımlarını takip ediniz.
553,Ayşe,İnsan Kaynakları,Danışma Soruları,Ücret artış politikası nedir?,"Ücret artışları, performans değerlendirmelerine bağlı olarak belirlenir. İK duyurularını takip ediniz."
554,Mehmet,Finans,Maddesel Problemler,Vergi kesintileri hakkında bilgi almak istiyorum.,"Vergi kesintileri, 'FIN-421' düzenlemelerine göre hesaplanır. Finans departmanından detaylı bilgi alabilirsiniz."
555,Fatma,Üretim,Üretim Problemleri,Üretim hattında malzeme sıkıntısı yaşıyoruz.,"Stok kontrolü yaparak, 'ÜP-520' tedarik protokolünü uygulayın ve ilgili birimle koordinasyon kurun."
556,Ali,Dijital Teknolojiler,Yazılım Problemleri,E-posta hesabıma erişemiyorum.,Parolanızı sıfırlayın ve 'DT-110' adımlarını takip ederek IT destek ekibiyle iletişime geçin.
557,Sinem,İnsan Kaynakları,Danışma Soruları,Eğitim programları hakkında bilgi alabilir miyim?,"Şirket içi eğitim takvimi, İK portalında yayınlanmaktadır. 'İK-205' rehberini inceleyiniz."
558,Ahmet,Operasyon,X Problemleri,Veri aktarımında kesinti yaşıyorum.,Ağ bağlantılarınızı kontrol edin ve 'OP-330' iletişim protokolünü uygulayın.
559,Ece,Finans,Maddesel Problemler,Ödeme planımda bir tutarsızlık var.,"Ödeme planınızı gözden geçirip, 'FIN-532' hesaplama yönergelerini kontrol ediniz."
560,Furkan,Satış,Danışma Soruları,Yeni müşteri portföyü nasıl oluşturulur?,Satış strateji toplantılarına katılarak ve 'SAT-410' kılavuzu doğrultusunda hareket ediniz.
561,Faruk,Dijital Teknolojiler,Yazılım Problemleri,Sistem güncellemesi sonrası uygulama çöküyor.,"Güncelleme notlarını okuyun, 'DT-609' hata çözüm adımlarını izleyin ve gerekirse teknik destek ile iletişime geçin."
562,Göktuğ,Üretim,Üretim Problemleri,Montaj hattında uyumsuzluklar var.,Montaj hattı denetimlerini artırın ve 'ÜP-611' kalite kontrol prosedürünü uygulayın.
563,Merve,İnsan Kaynakları,Danışma Soruları,İşten çıkış süreci nasıl işliyor?,"İşten çıkış prosedürleri, İK rehberi 'İK-350' kapsamında ele alınmaktadır. Yetkili ile görüşünüz."
564,Deniz,Satış,Maddesel Problemler,Komisyon hesaplamasında hata fark ettim.,"Satış verilerinizi yeniden kontrol edip, 'SAT-515' hesaplama yöntemini uygulayınız."
565,Can,Finans,Maddesel Problemler,Yatırım raporlarımda eksiklik var.,Raporunuzu 'FIN-710' standartlarına göre güncelleyiniz ve finans birimiyle iletişime geçiniz.
566,Leyla,Dijital Teknolojiler,Yazılım Problemleri,Mobil uygulama düzgün çalışmıyor.,"Uygulamayı güncelleyin, 'DT-812' mobil destek rehberini inceleyin ve gerekirse yeniden yükleyin."
567,Emre,Operasyon,X Problemleri,Sistemsel aksaklıklar yaşanıyor.,"Sistem güncellemelerini kontrol edip, 'OP-905' hata raporunu doldurunuz."
568,Seda,İnsan Kaynakları,Danışma Soruları,Prim ve bonus hesaplamaları nasıl yapılıyor?,"İK portalındaki 'Prim Hesaplama' kılavuzunu inceleyerek, doğru verileri girdiğinizden emin olun."
569,Burak,Satış,Maddesel Problemler,Yıllık satış raporum eksik çıktı.,Rapor verilerinizi kontrol edin ve 'SAT-618' raporlama standartlarını uygulayın.
570,Ayşe,Finans,Maddesel Problemler,Banka işlemlerimde gecikme var.,Banka ile iletişim kurun ve 'FIN-820' işlem yönergelerini takip ediniz.
571,Mehmet,Üretim,Üretim Problemleri,Makine verimliliği düştü.,Makine ayarlarını kontrol edin ve 'ÜP-725' verimlilik artırma kılavuzunu uygulayın.
572,Fatma,Dijital Teknolojiler,Yazılım Problemleri,Sistem açılışında hata veriyor.,BIOS ayarlarını kontrol edin ve 'DT-915' sistem başlangıç rehberine bakın.
573,Ali,Operasyon,X Problemleri,Depo yönetim sistemi yanıt vermiyor.,Sistem yeniden başlatın ve 'OP-102' destek protokolünü uygulayın.
574,Sinem,İnsan Kaynakları,Danışma Soruları,Performans değerlendirme sürecim hakkında bilgi lazım.,İK portalında 'Performans Değerlendirme' bölümünü inceleyiniz. Toplantı takvimi yakında paylaşılacaktır.
575,Ahmet,Finans,Maddesel Problemler,Yatırım masraflarım onaylanmadı.,Masraf raporunuzu 'FIN-930' yönergelerine göre yeniden düzenleyin ve sunun.
576,Ece,Satış,Danışma Soruları,Müşteri görüşmeleri nasıl raporlanır?,Görüşme notlarınızı 'SAT-222' raporlama formuna ekleyiniz ve satış liderinize iletiniz.
577,Furkan,Dijital Teknolojiler,Yazılım Problemleri,Veritabanı bağlantısı kesildi.,"Bağlantı ayarlarını kontrol edin, 'DT-320' rehberini uygulayın ve sistem yöneticisine danışın."
578,Faruk,Operasyon,X Problemleri,Lojistik takip sisteminde sorun var.,Sistem loglarını kontrol edin ve 'OP-501' takip protokolünü uygulayın.
579,Göktuğ,Üretim,Üretim Problemleri,Ürün kalite kontrolü sırasında hata alınıyor.,Kalite kontrol ekibi ile iletişime geçin ve 'ÜP-830' kontrol prosedürünü uygulayın.
580,Merve,Finans,Maddesel Problemler,Bütçe raporunda tutarsızlık var.,Raporunuzu 'FIN-1025' standartlarına göre güncelleyin ve kontrol ettirin.
581,Deniz,Satış,Danışma Soruları,Yeni kampanya stratejisi hakkında bilgi verin.,"Pazarlama ve satış toplantısına katılarak, 'SAT-710' strateji dökümanını inceleyin."
582,Can,Dijital Teknolojiler,Yazılım Problemleri,Dosya paylaşım sistemi çalışmıyor.,Sistem ayarlarını sıfırlayın ve 'DT-423' dosya paylaşım rehberini uygulayın.
583,Leyla,Operasyon,X Problemleri,Nakliye takip sistemi güncellenmiyor.,Sistem bakımını yapın ve 'OP-670' güncelleme prosedürünü takip edin.
584,Emre,İnsan Kaynakları,Danışma Soruları,İK politikalarında son değişiklikler nelerdir?,Şirket içi duyuruları ve İK bültenini kontrol ediniz. Güncellemeler 'İK-501' kapsamında sunulmaktadır.
585,Seda,Finans,Maddesel Problemler,Ödeme onay sürecinde aksama var.,"İlgili formları yeniden doldurup, 'FIN-1050' prosedürünü uygulayınız."
586,Burak,Dijital Teknolojiler,Yazılım Problemleri,Sistem güncellemesi sırasında donma yaşıyorum.,Güncelleme öncesi yedek almayı unutmayın ve 'DT-710' hata giderme adımlarını uygulayın.
587,Ayşe,Satış,Danışma Soruları,Müşteri memnuniyeti raporlarını nasıl hazırlayabilirim?,"Satış sonrası anket sonuçlarını toplayıp, 'SAT-820' raporlama formatını kullanınız."
588,Mehmet,Operasyon,X Problemleri,Fabrika içi iletişimde kesinti var.,İç ağ bağlantılarını kontrol edin ve 'OP-790' iletişim protokolünü uygulayın.
589,Fatma,İnsan Kaynakları,Danışma Soruları,Yıllık performans değerlendirmesi ne zaman yapılacak?,"Değerlendirme süreci, her yılın son çeyreğinde başlar. İK takvimini kontrol ediniz."
590,Ali,Finans,Maddesel Problemler,Harcamalarım beklediğimden düşük gösteriliyor.,Harcama raporlarınızı 'FIN-1110' yönergelerine göre yeniden inceleyiniz.
591,Sinem,Dijital Teknolojiler,Yazılım Problemleri,Sistem erişimim sık sık kesiliyor.,Ağ stabilitesini kontrol edin ve 'DT-520' süreklilik protokolünü uygulayın.
592,Ahmet,Operasyon,X Problemleri,Üretim planlaması sisteminde hata var.,"Planlama verilerini gözden geçirip, 'OP-650' planlama yönergelerini takip edin."
593,Ece,İnsan Kaynakları,Danışma Soruları,Çalışan motivasyon programları neler?,"Motivasyon programları, şirket duyurularında ve İK portalında güncel olarak paylaşılmaktadır."
594,Furkan,Satış,Maddesel Problemler,Satış verilerim eksik görünüyor.,"Veri girişlerinizi kontrol edip, 'SAT-915' veri doğrulama formunu doldurun."
595,Faruk,Finans,Maddesel Problemler,Bütçe revizyonunda uyumsuzluklar mevcut.,Revizyon dokümanlarınızı 'FIN-1210' standartlarına göre gözden geçirin.
596,Göktuğ,Dijital Teknolojiler,Yazılım Problemleri,Veri yedeklemesi sırasında hata alıyorum.,Yedekleme ayarlarınızı kontrol edin ve 'DT-630' yedekleme rehberini izleyin.
597,Merve,Operasyon,X Problemleri,Fabrika içi veri akışında kesinti var.,"Ağ altyapısını kontrol ederek, 'OP-780' veri akış protokolünü uygulayın."
598,Deniz,İnsan Kaynakları,Danışma Soruları,Kariyer gelişim programı nasıl işler?,"Kariyer gelişim programı, İK tarafından belirlenen 'İK-910' çerçevesinde yürütülmektedir."
599,Can,Satış,Maddesel Problemler,Seyahat masrafı raporum kabul edilmedi.,"Masraf formlarını eksiksiz doldurup, 'SAT-1022' prosedürünü izleyiniz."
600,Leyla,Finans,Maddesel Problemler,Yıllık finansal raporumda hata var.,Raporu 'FIN-1310' standartlarına göre tekrar düzenleyiniz.
601,Emre,Dijital Teknolojiler,Yazılım Problemleri,Sistem güncellemeleri otomatik başlamıyor.,Güncelleme ayarlarını kontrol edin ve 'DT-740' otomasyon rehberini uygulayın.
602,Seda,Operasyon,X Problemleri,Üretim hattı sensörleri düzgün çalışmıyor.,"Sensör bağlantılarını gözden geçirip, 'OP-850' bakım protokolünü uygulayın."
603,Burak,İnsan Kaynakları,Danışma Soruları,Çalışan verilerimin güncel olup olmadığını nasıl kontrol edebilirim?,İK portalında yer alan 'Çalışan Bilgileri' bölümünü kontrol ediniz ve güncelleme yapmanız gerekirse İK ile iletişime geçiniz.
604,Ayşe,Satış,Danışma Soruları,Müşteri portföyü raporlaması nasıl yapılır?,"Satış CRM sistemindeki raporlama modülünü kullanarak, 'SAT-940' kılavuzuna göre rapor hazırlayınız."
605,Mehmet,Finans,Maddesel Problemler,Fatura tutarları beklediğimden düşük.,Fatura detaylarınızı 'FIN-1410' kontrol rehberi ile doğrulayınız.
606,Fatma,Dijital Teknolojiler,Yazılım Problemleri,Uygulama güncellemesi sırasında hata veriyor.,Güncelleme öncesi yedek alın ve 'DT-850' hata giderme adımlarını uygulayın.
607,Ali,Operasyon,X Problemleri,Depo envanter sistemi çalışmıyor.,Envanter verilerini kontrol edin ve 'OP-960' sistem inceleme prosedürünü uygulayın.
608,Sinem,İnsan Kaynakları,Danışma Soruları,İK sisteminde şifre sıfırlama nasıl yapılır?,İK portalında şifre sıfırlama seçeneğini kullanın ve 'İK-107' yönergesine uyun.
609,Ahmet,Satış,Maddesel Problemler,Satış hedeflerim beklenenin altında.,"Hedefler, geçmiş performansa göre belirlenir. 'SAT-1050' değerlendirme kılavuzunu inceleyiniz."
610,Ece,Finans,Maddesel Problemler,Bütçe onay süreci neden gecikti?,"Onay süreci, 'FIN-1510' protokolüne göre yürütülmektedir. Detaylı inceleme yapınız."
611,Furkan,Dijital Teknolojiler,Yazılım Problemleri,Uygulama performansı düşük.,"Performans ayarlarını kontrol edip, 'DT-970' optimizasyon rehberini uygulayın."
612,Faruk,Operasyon,X Problemleri,Nakliye sürecinde gecikme yaşanıyor.,Lojistik planlamasını kontrol edin ve 'OP-1080' zaman yönetimi protokolünü uygulayın.
613,Göktuğ,İnsan Kaynakları,Danışma Soruları,Çalışan eğitimlerine nasıl katılabilirim?,İK portalındaki eğitim takvimini kontrol ediniz ve kayıt formunu doldurunuz.
614,Merve,Satış,Danışma Soruları,Yeni müşteri ilişkileri yönetimi nasıl geliştirilmeli?,"Müşteri geri bildirimlerini analiz ederek, 'SAT-1190' strateji dokümanını inceleyiniz."
615,Deniz,Finans,Maddesel Problemler,Fatura düzenlemelerinde tutarsızlık var.,Fatura formatınızı 'FIN-1620' yönergelerine göre düzenleyiniz.
616,Can,Dijital Teknolojiler,Yazılım Problemleri,Veri aktarım süreci hatalı.,Aktarım protokolünü 'DT-1180' ile kontrol ediniz ve yeniden başlatın.
617,Leyla,Operasyon,X Problemleri,Üretim planlaması yazılımı çöktü.,Yazılımı yeniden başlatın ve 'OP-1250' kılavuzunu takip edin.
618,Emre,İnsan Kaynakları,Danışma Soruları,İK sistemine giriş yapamıyorum.,"Giriş bilgilerinizi kontrol edin, 'İK-113' destek talebinde bulunun."
619,Seda,Satış,Maddesel Problemler,Satış raporlarım hatalı hesaplanıyor.,Rapor verilerinizi 'SAT-1300' kontrol rehberiyle doğrulayın.
620,Burak,Finans,Maddesel Problemler,Harcamalarımın limiti aşıldı.,"Harcama limiti, 'FIN-1340' politikası dahilinde revize edilmelidir. İlgili departmanla görüşün."
621,Ayşe,Dijital Teknolojiler,Yazılım Problemleri,Sistemden veri çekemiyorum.,Veri çekme işlemini 'DT-1400' yönergelerine göre yeniden başlatın.
622,Mehmet,Operasyon,X Problemleri,Üretim hattında zaman kaybı yaşıyoruz.,"Operasyonel süreçleri gözden geçirip, 'OP-1450' zaman yönetimi protokolünü uygulayın."
623,Fatma,İnsan Kaynakları,Danışma Soruları,Çalışan performans raporları nereden temin edilir?,Performans raporları İK portalında 'İK-150' bölümünde yer almaktadır.
624,Ali,Satış,Maddesel Problemler,Primlerim hesaplanırken hata yapılıyor.,Prim hesaplamalarını 'SAT-1500' kılavuzuna göre kontrol edin.
625,Sinem,Dijital Teknolojiler,Yazılım Problemleri,Sistem arayüzünde görüntü bozulması var.,Arayüz ayarlarını sıfırlayın ve 'DT-1510' kullanıcı kılavuzunu uygulayın.
626,Ahmet,Operasyon,X Problemleri,Fabrika genelinde enerji kesintileri yaşıyoruz.,Enerji yönetim sistemini kontrol edin ve 'OP-1600' acil durum protokolünü uygulayın.
627,Ece,Finans,Maddesel Problemler,Finansal tablolarım eksik görünüyor.,Tablolarınızı 'FIN-1700' düzenleme yönergelerine göre gözden geçirin.
628,Furkan,İnsan Kaynakları,Danışma Soruları,Çalışan izin politikaları nelerdir?,İK portalında 'İzin Politikaları' bölümünü inceleyiniz ve 'İK-180' dökümanını okuyunuz.
629,Faruk,Satış,Maddesel Problemler,Satış döneminde prim hesaplaması hatalı.,Satış verilerinizi 'SAT-1710' kontrol ederek yeniden hesaplayınız.
630,Göktuğ,Dijital Teknolojiler,Yazılım Problemleri,Sunucu yükü çok yüksek görünüyor.,Sunucu kaynaklarını kontrol edin ve 'DT-1800' dengeleme rehberini uygulayın.
631,Merve,Operasyon,X Problemleri,Fabrika içi aydınlatmada sorun var.,"Aydınlatma sistemini kontrol edip, 'OP-1850' bakım prosedürünü uygulayın."
632,Deniz,İnsan Kaynakları,Danışma Soruları,Çalışan özlük dosyalarım nasıl güncellenir?,Özlük dosyaları İK portalında güncellenmektedir. 'İK-190' formunu doldurun.
633,Can,Satış,Danışma Soruları,Müşteri ziyareti raporları nasıl hazırlanır?,Ziyaret raporlarınızı 'SAT-2000' formatında hazırlayınız ve yöneticinize iletiniz.
634,Leyla,Finans,Maddesel Problemler,Gider raporlarım eksik bilgi içeriyor.,Gider raporlarınızı 'FIN-2100' kontrol formuna göre tamamlayınız.
635,Emre,Dijital Teknolojiler,Yazılım Problemleri,Uygulama hata logları erişilemiyor.,Log dosyalarını kontrol edin ve 'DT-2200' hata raporlama prosedürünü uygulayın.
636,Seda,Operasyon,X Problemleri,Fabrika genelinde sistem entegrasyon sorunu var.,"Entegrasyon adımlarını kontrol ederek, 'OP-2300' protokolünü uygulayın."
637,Eren,İnsan Kaynakları,Danışma Soruları,"Bilgisayarım açılmıyor, ne yapmalıyım?",Sorunuz için ilgili departman portalını inceleyiniz ve 'İK-101' yönergelerini uygulayınız.
638,Sinem,Dijital Teknolojiler,Yazılım Problemleri,"Makine arıza veriyor, üretim hattını aksatıyor.",Yazılım ayarlarınızı kontrol ediniz. Hata giderme için 'DT-102' kodlu protokolü uygulayın.
639,Ahmet,Üretim,Üretim Problemleri,Sistem güncellemesi sonrası hata alıyorum.,Üretim sürecinizde aksaklık var. Lütfen 'ÜP-103' bakım prosedürünü uygulayınız.
640,Ece,Satış,Maddesel Problemler,İzin tarihlerimi nasıl sorgulayabilirim?,Masraf ve giderlerinizi gözden geçirin. 'SAT-104' yönergelerini uygulayınız.
641,Furkan,Finans,X Problemleri,Satış raporumda tutarsızlık var.,Sistem ve süreçlerinizi kontrol ediniz. 'FIN-105' kontrol listesini uygulayın.
642,Faruk,Operasyon,Danışma Soruları,Bütçe onay süreci neden gecikti?,Sorunuz için ilgili departman portalını inceleyiniz ve 'OP-106' yönergelerini uygulayınız.
